Temperature	PWM	Time	Set Temperature	T1	T2	T3	T4	T5


Mode	time	PWM	Heat/Cool	K_p	K_I	Set Temp	Reset Int	Sin amplitude	Sin period
Sin	19.6	255	1		20.0	1.0	40.0		1		20.0		160.0

66.41	91	53.8	57.12	47.65	44.45	35.01	31.98	31.26
65.87	83	54.9	56.67	48.05	44.86	35.33	32.15	31.35
65.31	75	56	56.19	48.4	45.23	35.66	32.34	31.44
64.74	67	57	55.68	48.69	45.56	35.99	32.53	31.54
64.15	58	58.1	55.15	48.94	45.85	36.3	32.71	31.64
63.52	50	59.2	54.59	49.14	46.09	36.59	32.9	31.74
62.85	42	60.3	54	49.29	46.29	36.89	33.1	31.85
62.2	33	61.3	53.39	49.42	46.47	37.16	33.3	31.97
61.48	26	62.4	52.75	49.51	46.61	37.42	33.5	32.09
60.69	19	63.5	52.09	49.56	46.74	37.67	33.7	32.22
59.94	11	64.5	51.41	49.58	46.84	37.92	33.9	32.35
59.12	5	65.6	50.71	49.56	46.91	38.14	34.09	32.48
58.26	-2	66.7	49.99	49.52	46.97	38.36	34.28	32.6
57.39	-10	67.7	49.26	49.44	46.97	38.57	34.47	32.72
56.5	-18	68.8	48.5	49.33	46.96	38.75	34.65	32.85
55.62	-27	69.9	47.73	49.19	46.91	38.93	34.83	32.98
54.78	-37	71	46.95	49.03	46.83	39.09	35	33.09
53.94	-48	72	46.16	48.82	46.73	39.23	35.16	33.21
53.11	-58	73.1	45.35	48.62	46.61	39.36	35.32	33.32
52.27	-70	74.2	44.54	48.37	46.46	39.48	35.46	33.43
51.43	-81	75.2	43.71	48.12	46.3	39.58	35.58	33.53
50.6	-92	76.3	42.88	47.86	46.14	39.67	35.7	33.63
49.74	-103	77.4	42.05	47.59	45.95	39.74	35.82	33.73
48.86	-113	78.5	41.21	47.29	45.76	39.8	35.91	33.84
47.98	-124	79.5	40.37	46.98	45.54	39.85	36.02	33.94
47.09	-134	80.6	39.53	46.66	45.31	39.88	36.13	34.02
46.18	-143	81.7	38.69	46.31	45.09	39.91	36.22	34.12
45.28	-152	82.7	37.85	45.97	44.83	39.94	36.32	34.21
44.36	-161	83.8	37.02	45.61	44.57	39.94	36.4	34.3
43.46	-170	84.9	36.19	45.23	44.28	39.93	36.48	34.39
42.53	-177	86	35.36	44.84	43.97	39.9	36.55	34.48
41.59	-185	87	34.55	44.44	43.66	39.87	36.63	34.57
40.66	-192	88.1	33.75	44.02	43.33	39.84	36.69	34.65
39.73	-198	89.2	32.95	43.6	42.99	39.8	36.74	34.74
38.8	-204	90.2	32.17	43.15	42.63	39.73	36.79	34.81
37.87	-209	91.3	31.4	42.71	42.28	39.66	36.83	34.89
36.96	-214	92.4	30.65	42.26	41.94	39.58	36.87	34.95
36.04	-218	93.5	29.91	41.79	41.57	39.5	36.88	35.01
35.13	-221	94.5	29.2	41.32	41.2	39.4	36.89	35.04
34.26	-225	95.6	28.5	40.85	40.83	39.29	36.9	35.08
33.39	-228	96.7	27.82	40.36	40.43	39.17	36.89	35.11
32.54	-231	97.7	27.16	39.87	40.02	39.04	36.87	35.14
31.7	-233	98.8	26.53	39.38	39.6	38.9	36.84	35.16
